u_x_normalized,v_y_normalized
0.328070,0.372472
0.328363,0.372593
0.328655,0.372714
0.328947,0.372841
0.329240,0.372969
0.329532,0.373090
0.329825,0.373211
0.330117,0.373332
0.330409,0.373453
0.330702,0.373574
0.330994,0.373688
0.331287,0.373816
0.331579,0.373937
0.331871,0.374058
0.332164,0.374172
0.332456,0.374286
0.332749,0.374400
0.333041,0.374515
0.333333,0.374622
0.333626,0.374736
0.333918,0.374857
0.334211,0.374978
0.334503,0.375099
0.334795,0.375213
0.335088,0.375328
0.335380,0.375448
0.335673,0.375569
0.335965,0.375690
0.336257,0.375798
0.336550,0.375912
0.336842,0.376033
0.337135,0.376154
0.337427,0.376275
0.337719,0.376382
0.338012,0.376490
0.338304,0.376611
0.338596,0.376732
0.338889,0.376846
0.339181,0.376954
0.339474,0.377068
0.339766,0.377182
0.340058,0.377296
0.340351,0.377404
0.340643,0.377511
0.340936,0.377619
0.341228,0.377733
0.341520,0.377847
0.341813,0.377955
0.342105,0.378062
0.342398,0.378176
0.342690,0.378297
0.342982,0.378418
0.343275,0.378526
0.343567,0.378633
0.343860,0.378754
0.344152,0.378875
0.344444,0.378989
0.344737,0.379104
0.345029,0.379218
0.345322,0.379346
0.345614,0.379460
0.345906,0.379567
0.346199,0.379675
0.346491,0.379782
0.346784,0.379897
0.347076,0.380011
0.347368,0.380118
0.347661,0.380226
0.347953,0.380333
0.348246,0.380447
0.348538,0.380562
0.348830,0.380669
0.349123,0.380777
0.349415,0.380884
0.349708,0.380998
0.350000,0.381113
0.350292,0.381213
0.350585,0.381321
0.350877,0.381428
0.351170,0.381543
0.351462,0.381657
0.351754,0.381764
0.352047,0.381872
0.352339,0.381986
0.352632,0.382100
0.352924,0.382215
0.353216,0.382322
0.353509,0.382430
0.353801,0.382537
0.354094,0.382645
0.354386,0.382759
0.354678,0.382866
0.354971,0.382974
0.355263,0.383081
0.355556,0.383189
0.355848,0.383290
0.356140,0.383390
0.356433,0.383491
0.356725,0.383592
0.357018,0.383700
0.357310,0.383800
0.357602,0.383908
0.357895,0.384015
0.358187,0.384123
0.358480,0.384230
0.358772,0.384338
0.359064,0.384445
0.359357,0.384553
0.359649,0.384660
0.359942,0.384768
0.360234,0.384869
0.360526,0.384969
0.360819,0.385077
0.361111,0.385184
0.361404,0.385292
0.361696,0.385393
0.361988,0.385500
0.362281,0.385614
0.362573,0.385722
0.362865,0.385829
0.363158,0.385930
0.363450,0.386031
0.363743,0.386132
0.364035,0.386239
0.364327,0.386340
0.364620,0.386441
0.364912,0.386535
0.365205,0.386636
0.365497,0.386743
0.365789,0.386851
0.366082,0.386958
0.366374,0.387052
0.366667,0.387153
0.366959,0.387261
0.367251,0.387368
0.367544,0.387476
0.367836,0.387576
0.368129,0.387677
0.368421,0.387785
0.368713,0.387899
0.369006,0.388006
0.369298,0.388107
0.369591,0.388201
0.369883,0.388295
0.370175,0.388396
0.370468,0.388504
0.370760,0.388604
0.371053,0.388705
0.371345,0.388806
0.371637,0.388907
0.371930,0.389014
0.372222,0.389122
0.372515,0.389223
0.372807,0.389317
0.373099,0.389411
0.373392,0.389518
0.373684,0.389626
0.373977,0.389727
0.374269,0.389821
0.374561,0.389915
0.374854,0.390015
0.375146,0.390116
0.375439,0.390210
0.375731,0.390311
0.376023,0.390405
0.376316,0.390499
0.376608,0.390600
0.376901,0.390708
0.377193,0.390808
0.377485,0.390902
0.377778,0.390996
0.378070,0.391091
0.378363,0.391191
0.378655,0.391292
0.378947,0.391386
0.379240,0.391480
0.379532,0.391574
0.379825,0.391668
0.380117,0.391769
0.380409,0.391870
0.380702,0.391964
0.380994,0.392058
0.381287,0.392152
0.381579,0.392246
0.381871,0.392347
0.382164,0.392448
0.382456,0.392542
0.382749,0.392636
0.383041,0.392723
0.383333,0.392817
0.383626,0.392918
0.383918,0.393012
0.384211,0.393106
0.384503,0.393200
0.384795,0.393294
0.385088,0.393395
0.385380,0.393482
0.385673,0.393577
0.385965,0.393671
0.386257,0.393765
0.386550,0.393859
0.386842,0.393953
0.387135,0.394047
0.387427,0.394148
0.387719,0.394242
0.388012,0.394336
0.388304,0.394430
0.388596,0.394524
0.388889,0.394618
0.389181,0.394712
0.389474,0.394806
0.389766,0.394900
0.390058,0.394994
0.390351,0.395088
0.390643,0.395182
0.390936,0.395276
0.391228,0.395371
0.391520,0.395465
0.391813,0.395559
0.392105,0.395653
0.392398,0.395740
0.392690,0.395834
0.392982,0.395928
0.393275,0.396022
0.393567,0.396116
0.393860,0.396210
0.394152,0.396298
0.394444,0.396392
0.394737,0.396486
0.395029,0.396580
0.395322,0.396667
0.395614,0.396748
0.395906,0.396835
0.396199,0.396929
0.396491,0.397023
0.396784,0.397118
0.397076,0.397205
0.397368,0.397292
0.397661,0.397380
0.397953,0.397474
0.398246,0.397568
0.398538,0.397668
0.398830,0.397763
0.399123,0.397857
0.399415,0.397944
0.399708,0.398031
0.400000,0.398125
0.400292,0.398219
0.400585,0.398307
0.400877,0.398387
0.401170,0.398468
0.401462,0.398555
0.401754,0.398649
0.402047,0.398744
0.402339,0.398831
0.402632,0.398912
0.402924,0.398992
0.403216,0.399079
0.403509,0.399167
0.403801,0.399261
0.404094,0.399348
0.404386,0.399436
0.404678,0.399516
0.404971,0.399604
0.405263,0.399691
0.405556,0.399785
0.405848,0.399872
0.406140,0.399960
0.406433,0.400040
0.406725,0.400121
0.407018,0.400208
0.407310,0.400296
0.407602,0.400390
0.407895,0.400477
0.408187,0.400558
0.408480,0.400638
0.408772,0.400726
0.409064,0.400813
0.409357,0.400907
0.409649,0.400994
0.409942,0.401075
0.410234,0.401156
0.410526,0.401230
0.410819,0.401310
0.411111,0.401391
0.411404,0.401478
0.411696,0.401566
0.411988,0.401646
0.412281,0.401727
0.412573,0.401807
0.412865,0.401895
0.413158,0.401989
0.413450,0.402076
0.413743,0.402157
0.414035,0.402237
0.414327,0.402318
0.414620,0.402405
0.414912,0.402493
0.415205,0.402580
0.415497,0.402667
0.415789,0.402748
0.416082,0.402829
0.416374,0.402909
0.416667,0.402997
0.416959,0.403077
0.417251,0.403165
0.417544,0.403245
0.417836,0.403326
0.418129,0.403407
0.418421,0.403487
0.418713,0.403575
0.419006,0.403655
0.419298,0.403736
0.419591,0.403816
0.419883,0.403897
0.420175,0.403978
